gene,importance
AT3G25280,0.0017336512580497375
AT5G11600,0.0015048587475932804
AT5G36100,0.0014852964489859282
AT4G14910,0.0014735061864669234
AT3G49490,0.0014065070843980144
AT5G11680,0.0013935201846212708
AT3G16780,0.0013767436352673376
AT1G15100,0.0013689636140457602
AT5G10650,0.001367843323799817
AT1G03380,0.0013599037507746393
AT5G18130,0.0013589372105389551
AT1G74860,0.001357544478668376
AT5G10390,0.0013496980824083372
AT4G16720,0.001345000935635895
AT2G41650,0.0013438883952979186
AT5G15260,0.0013431597236157808
AT1G15120,0.001342428987403695
AT1G54520,0.0013387859884391264
AT1G03110,0.0013334351028846223
AT2G30050,0.0013296502219406958
AT5G66930,0.0013271774297220562
AT1G21410,0.0013234096631198485
AT1G02770,0.0013179331358457338
AT4G26410,0.001316521064594942
AT4G18100,0.001314176032712014
AT4G14103,0.0013125860958420553
AT1G27435,0.0013082875461977778
AT1G04980,0.0013074475545745603
AT3G03776,0.0013048121447032436
AT2G02710,0.0013043650759743597
AT5G67510,0.0012990561268982018
AT4G33250,0.001297270685185301
AT2G44120,0.0012966391416428659
AT4G39140,0.0012902328996886676
AT3G23730,0.0012849286774061384
AT1G27150,0.0012831791641877352
AT5G51550,0.0012828792155060115
AT2G22425,0.0012760010063117724
AT1G54270,0.001275501646104422
AT1G17145,0.0012735263916039015
AT5G15220,0.0012731123896156545
AT4G17170,0.0012720659516289052
AT3G23340,0.001270973847153349
AT3G15190,0.0012702358489829599
AT2G44040,0.0012692698035123935
AT5G11750,0.0012681711832786427
AT2G03730,0.0012677119336526803
AT2G46620,0.0012652500716032154
AT1G03950,0.0012648498651990077
AT4G24175,0.001262769656575615
AT3G21295,0.0012627159631858976
AT2G44050,0.0012621281469974643
AT2G15695,0.001261624645204519
AT5G65165,0.001259307922460905
AT3G28330,0.0012582645242184322
AT5G46050,0.0012579366592012488
AT5G02870,0.0012558123540380806
AT2G25625,0.0012554072091006674
AT1G02610,0.0012547714334376204
AT5G65350,0.0012511475076821567
AT4G06598,0.0012508733356891661
AT1G06210,0.0012482066275522443
AT5G57290,0.0012475992427679085
AT1G09960,0.001246236669948867
AT2G42310,0.0012433632926078207
AT5G13330,0.001241568158950975
AT2G29065,0.0012414693418680985
AT1G76760,0.0012405187824875796
AT3G20890,0.0012390271162236982
AT4G26060,0.0012377839322906294
AT3G09190,0.0012369345139735673
AT4G16620,0.0012346481942332975
AT2G38800,0.001233881691704586
AT4G34800,0.0012338194234261313
AT2G25900,0.0012336655439222468
AT3G55380,0.0012334446526645342
AT5G54730,0.0012331596355717829
AT4G24830,0.001232870191127899
AT5G16000,0.0012310553552830428
AT4G14130,0.0012308201469669613
AT4G12650,0.0012305921527168042
AT3G61820,0.0012302895141411809
AT1G66350,0.0012301759758619355
AT4G38160,0.0012278390044045836
AT3G23450,0.0012278000410068544
AT3G57340,0.0012271164990734983
AT1G78310,0.0012268232368816963
AT2G38820,0.001226431965353439
AT4G36720,0.0012258828668840393
AT1G27910,0.0012248978046851403
AT3G15353,0.0012240709961300622
AT1G64090,0.0012218667351923695
AT1G77440,0.0012206522715823207
AT5G43960,0.0012198301896827201
AT5G41970,0.0012191207744210628
AT3G61350,0.0012177340035169103
AT3G09070,0.0012175208329712336
AT3G09270,0.0012174891837529213
AT1G70370,0.0012166660952844504
AT2G31350,0.001215132857419409
AT1G67623,0.0012147026537616202
AT3G05140,0.0012145392440714527
AT4G23990,0.0012142620089204534
AT1G17520,0.0012142556959680647
AT1G31750,0.0012136235279826847
AT3G02290,0.0012131280623467733
AT3G05560,0.0012126937361221903
AT1G22180,0.0012124748508183616
AT5G05950,0.0012114393172816585
AT5G54900,0.0012109462826444969
AT1G50720,0.0012091457114987447
AT1G50600,0.0012086718847910296
AT5G02540,0.0012079689670516226
AT2G38230,0.001206174779821871
AT3G63410,0.001205980753425886
AT4G31600,0.001204456710989758
AT5G10160,0.0012030299766581576
AT5G52300,0.0012025295945932157
AT2G41420,0.0012016829222593975
AT1G54740,0.0012015066897012867
AT5G47630,0.0012008929466740287
AT4G31360,0.0012008345100507022
AT5G19750,0.001200464738885094
AT4G31985,0.001200337848763123
AT3G44880,0.0011995153312731233
AT3G06700,0.0011993787436351132
AT2G36350,0.001197375906808184
AT4G17770,0.0011973679349374592
AT3G03230,0.0011972573392765148
AT3G25670,0.0011947883219904666
AT5G22360,0.0011940208100492747
AT5G55850,0.0011938816578664574
AT5G59240,0.0011927985928472295
AT1G79550,0.001192250518169537
AT5G63840,0.0011920074875543154
AT5G11420,0.001191418703985872
AT1G29980,0.0011911624773623586
AT1G01100,0.0011911074343746045
AT4G15630,0.0011910689307897664
AT3G16610,0.0011889942838991638
AT5G26800,0.0011887265948793862
AT5G65700,0.0011883090833007487
AT1G70600,0.0011881316024323783
AT4G32790,0.0011871785633347021
AT2G30370,0.0011871759312800604
AT1G10030,0.00118695077179825
AT3G13910,0.0011866781303841072
AT4G18820,0.0011864291192540792
AT1G74030,0.0011859230496007007
AT3G53460,0.0011856663716836137
AT1G77670,0.001184424633363592
AT3G11940,0.0011843659099385945
AT5G66920,0.00118383065070898
AT5G35960,0.0011833313170266397
AT4G30190,0.0011831044963239751
AT1G52320,0.001182286797895266
AT2G20875,0.0011815179307551617
AT5G13780,0.0011799428814615394
AT3G25700,0.001179587417775824
AT4G39920,0.0011794583067368668
AT2G18540,0.0011788332369546937
AT3G09035,0.0011786224182011396
AT1G10950,0.001177915901717836
AT5G54960,0.0011778319237202618
AT3G62250,0.0011770978567774018
AT5G61030,0.0011764506185338891
AT3G19950,0.0011752761574480477
AT1G34430,0.0011746029714358192
AT5G66110,0.0011731384910939296
AT2G28000,0.001172723719788291
AT4G39130,0.0011720106495322167
AT1G19660,0.001171975739004055
AT1G13820,0.0011714775261875902
AT5G47360,0.0011713454135858655
AT3G50740,0.0011711153440760254
AT4G32300,0.001170856788823723
AT5G46690,0.0011707362810980907
AT1G60060,0.0011693548591279932
AT5G07290,0.0011692448448759277
AT3G02230,0.0011661242344785082
AT1G66520,0.0011657444261754214
AT5G08690,0.0011649973487151387
AT1G13390,0.0011647819503679462
AT4G13110,0.0011646058308174302
AT5G04380,0.0011644716827895881
AT4G36195,0.001162808741033195
AT3G09820,0.0011621996824102052
AT3G50230,0.0011618926826808484
AT2G36620,0.001161718158061687
AT1G55530,0.001160802111314032
AT1G62640,0.0011603587505605096
AT1G13320,0.0011602660362561574
AT1G77680,0.0011590100557556599
AT2G26580,0.0011587107850274047
AT4G25260,0.0011581512019951839
AT5G55125,0.0011567794513384683
AT2G05790,0.0011567132458344244
AT5G10740,0.001155109606171911
AT3G25910,0.001154963062675316
AT1G20430,0.0011548351916805782
AT1G64065,0.0011544287364260895
AT5G03300,0.0011543105043252766
AT4G34265,0.0011539482215015642
AT1G55360,0.0011533893120940775
AT1G61250,0.0011522914731508132
AT1G34030,0.0011515619389453455
AT2G29180,0.0011510924856868113
AT4G39540,0.0011510685527597
AT5G35160,0.0011503598468578598
AT3G27230,0.0011485998945743954
AT4G30660,0.0011485030898924539
AT3G61710,0.0011484581346975792
AT2G33370,0.0011482561980462574
AT4G26840,0.001147267613132614
AT1G67880,0.00114703230599245
AT1G07340,0.0011465647200769218
AT3G46740,0.0011462110029887172
AT2G44640,0.0011454247374049259
AT1G32310,0.0011449770344704202
AT3G24000,0.001144882441863795
AT2G27810,0.0011446136880674859
AT3G06650,0.0011436087118028486
AT2G25790,0.0011434126912418729
AT1G22140,0.0011431004071410721
AT5G44150,0.0011427282761245277
AT1G26600,0.0011419680400948996
AT2G27380,0.0011416083850891955
AT1G69330,0.001141541472435752
AT1G09210,0.0011400842554336768
AT5G05690,0.0011397033568421567
AT1G04410,0.001139555718452092
AT2G21160,0.0011394037621956367
AT3G25860,0.0011387249547693454
AT3G19910,0.0011385472138085156
AT5G54000,0.001137994276949122
AT1G65410,0.0011366791547942152
AT5G25180,0.0011360800572335012
AT1G56570,0.0011356827987894368
AT3G49010,0.0011350784664074713
AT2G16280,0.0011346375461390736
AT1G15740,0.0011343437178271138
AT3G55070,0.0011318393425184855
AT1G67630,0.0011316936585058965
AT3G53580,0.0011315788742879854
AT5G35690,0.001131458795935953
AT4G35180,0.0011310213383326241
AT5G18390,0.0011303201425545025
AT1G70580,0.0011302769616801775
AT3G59110,0.0011301307894416223
AT4G34250,0.0011299974767673949
AT4G34570,0.0011299719632075675
AT4G27780,0.0011294962062067175
AT3G46830,0.0011291332005764817
AT2G21260,0.001127145166017588
AT3G01070,0.0011271256996765202
AT5G64816,0.0011270261335384125
AT1G71060,0.001126342577030116
AT4G20820,0.0011262217776214739
AT5G35360,0.0011260331677614794
AT1G12110,0.001125682527022554
AT2G33847,0.001125138627363021
AT3G27240,0.0011251340156032033
AT1G33470,0.0011248565393152258
AT4G30810,0.001124442260656388
AT5G14960,0.0011237334892363914
AT2G02500,0.0011236224820809011
AT4G20270,0.0011230826324818632
AT5G14030,0.001122657039662885
AT2G03505,0.0011219695362699354
AT2G40010,0.0011209640324062703
AT3G58450,0.0011208386960236026
AT3G60770,0.0011204431066289544
AT1G28640,0.0011202243803830852
AT1G76580,0.0011200729651608514
AT3G48730,0.0011197325627649603
AT4G04880,0.0011192388029266562
AT4G36130,0.0011185423746967358
AT5G04620,0.0011177721326711884
AT2G20300,0.001117661790413888
AT4G31930,0.0011163922428312604
AT5G46800,0.0011162471875903503
AT1G14950,0.0011161093243342143
AT1G35510,0.0011159379989029604
AT2G36880,0.0011154179079266547
AT5G06050,0.0011153487909343566
AT1G48620,0.0011152713709692117
AT1G04630,0.0011150750968549283
AT3G10370,0.0011143232113681734
AT3G10550,0.001114272307939798
AT3G10720,0.0011140022896925766
AT3G12650,0.001113002194674491
AT4G27460,0.0011116365052588708
AT3G23490,0.001111227035639613
AT3G55730,0.0011111982598719541
