label,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene1,35.13303346,29.88864729,28.28088601,41.92432718,38.31341728,43.83644316,32.96131711,34.4000329,27.68251659,53.01198424,53.00021795,54.38787378,11.52381437,14.84411921,15.38001362,26.96749837,18.12571801,21.00815382,25.25398304,18.4814114,20.22457196,43.78511106,47.96785227,46.11179334,45.55491648,46.28423431,42.98342463,43.80941504,46.3203855,39.83755454,43.25059692,61.96382466,61.222642,49.26939466,56.20410779,63.77428954,60.7191283,70.99400878,68.88746572,70.89770798,48.54748887,55.81966548,54.29089456,56.21947253,61.55162934,57.86441884,60.19428873,59.5455759,59.16372485,79.89680411,77.37936632,75.88821471,89.70279472,99.70470567,92.97989653,98.5560997,87.64622169,81.4158146,73.72132876,75.47597175,47.57304392,46.89148325,45.4750619,40.08823146,38.71740386,82.8597101,78.10245839,90.1696609,79.22523514,61.52389073,58.93601932,58.68332693,89.06501049,86.57713195,91.86481896,72.39319207,77.80956973,72.53577179,68.7372649
Gene2,46.84376259,40.99462614,46.73796276,43.00572589,44.55010238,41.08993833,44.61624236,47.8647308,43.7918749,63.86971766,63.34833926,63.36592859,11.70480328,17.49521722,13.2187275,14.7797176,13.05403326,14.15817992,8.233104751,9.394586254,6.291935464,42.25235161,54.00492045,49.1102268,52.59167989,54.02903226,53.519889,50.1897818,57.97922738,44.76310822,48.16663276,9.229473631,8.103372152,8.882143842,21.6728882,20.08904167,21.49173091,15.41385015,15.06571685,15.40739456,4.361457694,5.541897724,5.080167776,28.83443271,28.85862509,28.75963417,17.66416317,20.71745191,22.45224138,5.310796777,5.95261419,5.073128957,1.900214705,1.346995976,4.557657931,4.224970901,4.336412562,4.827611298,4.789323186,4.287043271,6.329843469,5.727869372,5.441891154,3.719817267,3.574905742,4.748086587,5.032197184,2.870700234,3.306656793,5.400440996,5.52554656,6.783540227,6.327828442,5.578859338,6.130272225,4.588213868,6.69025199,6.124511786,5.280355418
Gene3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187878158,0,0,0,0,0,0,0,0,0,0,0,0.044445771,0,0,0.09591408,0.237224485,0.198387986,0,0,0,0,0,0.044818701,0,0,0.045641701,0.136532117,0,0,0,0,0,0,0,0,0.037394604,0,0,0,0,0,0.037832555,0,0,0,0,0,0,0,0,0.102582701,0.068088022,0.118590106,0,0,0,0.038293338
Gene4,2.823251538,3.963943475,4.487895454,3.676659784,3.7227645,3.561514136,3.840643876,4.620182002,4.768468706,2.191893139,2.611136373,3.022228265,11.59298678,15.21084099,15.34382535,3.199566295,2.255761196,2.712490846,1.396373185,0.898042045,1.501006017,3.319622857,3.417025087,2.723976594,3.832682905,1.571249653,0.575755735,1.918426098,1.573479136,3.717415561,3.536241035,3.103604866,3.658297701,3.855173857,17.7602755,17.47497324,21.54917197,34.23707364,77.88242179,53.80694758,0.35667297,0.942538648,0.667729698,24.14097294,23.81112252,22.88959396,42.04773461,41.30493128,35.53771954,0.743511549,0.77261682,0.383340021,0.564069082,0.261935764,0.319472493,0.40214398,0.091083328,0.090098999,0.490728052,0.595076115,0.377799859,0.34271905,0,0.091154202,0.09131514,0.136298015,0.357938273,0.213118922,0.081693874,0.410014219,0.230036566,0.211660334,1.112237847,1.353429675,1.047685457,0.138756686,0.095569699,0.285463903,0.32292547
Gene5,0.114997307,0.415298188,0.42116136,0.225236816,0.184157985,0.267380941,0.250452983,0.323102941,0.169052319,0.039963732,0.16662657,0.397649303,0.294933967,1.256734155,0.652765343,0.078529434,0.094392607,0.120763525,0,0,0.11052106,0,0.114764949,0,0,0.117961686,0,0,0,0,0.121978934,0,0,0,0.819266487,1.069294853,1.548450725,1.677811134,3.518509234,2.891154627,0,0,0,1.174841011,1.447119137,1.649560738,3.23545945,2.666681506,2.169206962,0,0,0.054360864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052343945,0.060778913,0,0,0,0
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118070658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128145028
Gene7,13.77978668,10.55390687,12.62011481,15.59163234,14.11807102,15.05722148,10.17047347,14.44848867,10.77554143,25.80559649,23.42394214,24.10756803,1.745087048,5.312165764,2.835976667,4.639988875,3.409639693,4.22729358,2.591430285,5.095109551,2.341376568,14.98841893,21.42568048,17.85361257,19.6444048,21.70034777,24.14124911,23.89119545,25.49753449,21.42231158,19.92591355,10.07215578,9.392342973,9.112294166,10.3176418,9.491253106,7.249045024,7.15355708,6.24744672,6.176507766,6.13505207,7.665169982,5.54946601,8.441172898,8.485436439,8.480490549,6.937100323,6.968752812,6.911193856,9.090648161,10.1185155,8.650712831,3.629485642,2.310001348,5.813179008,4.68618326,6.940746551,6.722999705,5.688219826,3.663241916,9.890664654,9.623802603,9.864586266,5.660893421,5.121159083,5.470211088,5.472145914,3.038692384,3.66267296,5.41735363,5.714327824,6.988104805,8.979963177,7.80995334,9.385357758,5.305098451,7.842819087,8.426824892,7.030748282
Gene8,20.54319084,18.9144391,21.78833173,19.39273899,19.54721912,19.44390623,23.11075664,21.31451686,21.6444514,17.52605882,17.18475982,15.6949872,18.23225166,22.71422965,23.19269435,18.27018829,17.1546974,18.79058884,13.62532509,11.288168,13.28102959,34.28329054,38.30203314,40.16475693,39.24650185,37.87833984,40.05443545,40.5924738,45.10079906,34.43912209,34.45360323,12.52111815,9.390719545,10.46380429,23.36626954,25.71871118,23.84149977,26.02691496,29.64483335,28.26349491,5.558798278,6.656445434,5.165045141,24.76914372,25.44293626,24.57378063,29.33882146,26.97888792,24.23770146,7.675760967,8.754695175,8.162138102,5.268777138,4.8041046,8.182917093,8.05385078,13.30670501,12.05174674,12.41425132,13.54860797,14.06735247,15.56531624,14.22241069,12.53878953,14.20684205,11.33535017,12.4789027,4.852261172,4.766235768,10.8910027,10.3875887,13.53350509,7.776745692,9.53232311,8.945082305,9.214311191,9.383643204,13.35988057,11.29106434
Gene9,0.466716677,0.298791068,0.487145873,0.342796433,0.358754568,0.352678883,0.283157734,0.442568334,0.23155841,0.267618188,0.380392925,0.677821225,0,0.241600581,0.238432387,0,0,0,0,0,0,0.703426815,0.27946419,0.544226193,0.175168323,0.287248565,0.596456277,0.129613082,0.174648376,0.225648654,0,0.126893168,0.16719825,0.124805674,1.178861433,0.92994303,0.628438868,0.580205121,1.021317311,0.972666425,0.07917786,0.122053298,0.359171157,1.8090707,1.636087423,1.841054535,1.627116441,1.281639,0.63898029,0.135925329,0,0.099280627,0.067424936,0.06783833,0.035459861,0,0.070768582,0.140007586,0.063546442,0.066050496,0.073384342,0.066570199,0.040586538,0.070823649,0.212846075,0.035299608,0,0.0662344,0.095209953,0.127426723,0.035746084,0.164452728,0.032006303,0.127462769,0.222004148,0.07187275,0.037127168,0.073931846,0
