num_samples,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
0,0.5491666666666667,0.22004418748161572,0.5,0.32596012026013244,0.775,0.39051248379533277,0.5829370629370629,0.31802958865976444
100,0.8091666666666667,0.23814094799322336,0.8,0.4000000000000001,0.6818181818181819,0.38783143650366436,0.7238095238095238,0.3826154176495365
400,0.9116666666666667,0.029976842914341585,1.0,0.0,0.8334848484848486,0.05573286672534582,0.9081673881673881,0.03335919737692419
700,0.9241666666666667,0.12111748199349441,0.9375,0.125,0.975,0.049999999999999996,0.9496296296296297,0.07218327534862125
1000,0.7191666666666666,0.20879282661155876,0.5066666666666666,0.44741231294833383,0.5818181818181818,0.47621094013486526,0.5296066252587992,0.44464492304262787
1300,0.7558333333333334,0.276003220593126,0.6,0.48989794855663565,0.5666666666666667,0.4666666666666667,0.5818181818181818,0.47621094013486526
1600,0.8,0.257390753524675,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
1900,0.8625,0.275,0.8,0.4,0.8,0.4,0.8,0.4
2200,0.5941666666666666,0.22696059374065602,0.5316666666666666,0.3199131826674926,0.8,0.4,0.6263099219620958,0.33429680707566306
2500,0.9375,0.125,0.9375,0.125,1.0,0.0,0.962962962962963,0.07407407407407408
